title,event_type,date,hall,description,url,price
David Foster Wallace en de wereld van Eindeloos vertier,Idee & Verbeelding,"vr 6 maart 2026, 20:00",De Balie,Amusement dat zo verslavend is dat het mensen verlamt en vernietigt. Dat is het nachtmerriescenario dat David Foster Wallace dertig jaar geleden beschreef in zijn magnum opus Infinite Jest. Nu de lang...,https://debalie.nl/programma/naar-de-wereld-van-eindeloos-vertier-06-03-2026/,Gratis
Behind the Opera: Theory of Flames,Idee & Verbeelding,"zo 8 maart 2026, 16:00:00",De Balie,"Wanneer wordt een geliefde een vreemde? En is een gedeelde realiteit daarvoor een voorwaarde? In de gloednieuwe film-opera Theory of Flames, onderzoekt componist Michel van der Aa deze, soms pijnlijke...",https://debalie.nl/programma/behind-the-opera-theory-of-flames-08-03-2026/,Gratis
Nationaal Gesprek over Vrijheid: Marthyne Kunst,Nationaal Gesprek over Vrijheid,ma 9 maart 2026,De Balie,"Studenten van het Cibap Zwolle gaan in gesprek met de hoofdofficier van justitie in Oost-Nederland Marthyne Kunst over de betekenis van vrijheid, democratie en actief burgerschap.",https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-marthyne-kunst-09-03-2026/,Gratis
"Verkiezingsdebat: Amsterdam, de sociale stad",Politiek & Democratie,"ma 9 maart 2026, 20:00",De Balie,"Steeds meer Amsterdammers doen een beroep op de gemeente om zorg – en lopen tegen jarenlange wachtrijen aan. Wat zijn de plannen van VVD, PvdA, D66, SP en CDA? Een debat over jeugdzorg, toegankelijkhe...",https://debalie.nl/programma/verkiezingsdebat-amsterdam-de-sociale-stad-09-03-2026/,Gratis
De rechtsstaat onder druk – met Gijs Scholten van Aschat,Politiek & Democratie,"di 10 maart 2026, 20:00",De Balie,"Een muzikale theaterperformance over het functioneren van de rechtsstaat. Met Gijs Scholten van Aschat en muzikanten van de Hoge Raad die werken van Bach, Massenet en Hahn opvoeren.",https://debalie.nl/programma/de-rechtsstaat-onder-druk-met-gijs-scholten-van-aschat-10-03-2026/,Gratis
Geen vrienden op de bergen na: het verhaal van de Koerden,Geopolitiek & Mensenrechten,"wo 11 maart 2026, 20:00",De Balie,MENA Voices,https://debalie.nl/programma/geen-vrienden-op-de-bergen-na-het-verhaal-van-de-koerden-11-03-2026/,Gratis
"Muskism, capitalism according to Elon Musk",Geopolitiek & Mensenrechten,"zo 15 maart 2026, 11:00",De Balie,"Elon Musk stands for more than an individual billionaire; he stands for a system. In conversation with Ben Tarnoff and Quinn Slobodian, authors of Muskism: A Guide for the Perplexed.",https://debalie.nl/programma/muskism-capitalism-according-to-elon-musk-15-03-2026/,Gratis
Arnon Grunberg meets Ruth Franklin,Idee & Verbeelding,"zo 15 maart 2026, 15:00",De Balie,Understanding Anne Frank,https://debalie.nl/programma/arnon-grunberg-meets-ruth-franklin-15-03-2026/,Gratis
Slotdebat: kleine partijen,Politiek & Democratie,"ma 16 maart 2026, 17:00:00",De Balie,De Balie x Het Parool,https://debalie.nl/programma/slotdebat-kleine-partijen-2-16-03-2026/,Gratis
Slotdebat: grote partijen,Politiek & Democratie,"ma 16 maart 2026, 20:00:00",De Balie,De Balie x Het Parool,https://debalie.nl/programma/slotdebat-grote-partijen-16-03-2026/,Gratis
Reporting on Putin’s Private Army in Africa,Geopolitiek & Mensenrechten,"wo 18 maart 2026, 20:00",De Balie,"Philip Obaji Jr. has documented over a hundred atrocities committed by Russian mercenaries in Central Africa. In his Freedom Lecture, he will reflect on the dangers of exposing the truth in one of the...",https://debalie.nl/programma/reporting-on-putins-private-army-in-africa-18-03-2026/,Gratis
Greenland and the New World Order,Geopolitiek & Mensenrechten,"do 19 maart 2026, 20:00",De Balie,About an inpredictable America and the future of Europe,https://debalie.nl/programma/greenland-and-the-new-world-order-19-03-2026/,Gratis
Van crisis naar koers: over klimaatbeleid dat verder vooruit kijkt,"Politiek & Democratie, Klimaat & duurzaamheid","ma 23 maart 2026, 20:00",De Balie,Op deze avond gaan we in gesprek met experts en politici over hoe Nederland weer langetermijndenken kan laten gelden in haar klimaatbeleid en over de manieren waarop we beleid kunnen maken dat generat...,https://debalie.nl/programma/van-crisis-naar-koers-over-klimaatbeleid-dat-verder-vooruit-kijkt-23-03-2026/,Gratis
Live Journalism: van klaslokaal naar thuiszitters,Emancipatie & Identiteit,"wo 25 maart 2026, 19:30",De Balie,Onze onderzoeksredactie nodigt je uit voor een open redactievergadering. Deel jouw ervaringen tijdens deze bijeenkomst in De Balie,https://debalie.nl/programma/live-journalism-van-klaslokaal-naar-thuiszitters-25-03-2026/,Gratis
"Starten, groeien, innoveren: welke investeringen heeft Nederland nodig?",Politiek & Democratie,"vr 27 maart 2026, 20:00",De Balie,"‘Het is één voor twaalf voor de Nederlandse economie’, stelt het rapport-Wennink, dat miljardeninvesteringen in ons ondernemingsklimaat voorstelt. Is de situatie werkelijk zo nijpend? En wat is er nod...",https://debalie.nl/programma/starten-groeien-innoveren-welke-investeringen-heeft-nederland-nodig-27-03-2026/,Gratis
Theatergroep de Kale: Quincampoix of de Windhandelaars,Idee & Verbeelding,"zo 29 maart 2026, 15:00",De Balie,Op zondagmiddag 29 maart organiseert Theatergroep De Kale een leesvoorstelling van Quincampoix of de Windhandelaars van Pieter Langendijk (1720).,https://debalie.nl/programma/theatergroep-de-kale-quincampoix-of-de-windhandelaars-29-03-2026/,Gratis
Alkibiades: over democratie in verval,"Politiek & Democratie, Idee & Verbeelding","do 2 april 2026, 20:00",De Balie,Met o.a. Ilja Leonard Pfeijffer,https://debalie.nl/programma/alkibiades-over-democratie-in-verval-02-04-2026/,Gratis
Is publieksfilosofie echt filosofie?,Idee & Verbeelding,"wo 15 april 2026, 20:00",De Balie,Welke rol heeft filosofie in het dagelijks leven? En in het publieke debat? Of is het zinloos om de zeer gespecialiseerde filosofie bedreven aan de universiteit te willen linken aan een maatschappelij...,https://debalie.nl/programma/is-publieksfilosofie-echt-filosofie-15-04-2026/,Gratis
Nationaal Gesprek over Vrijheid: Roelien Kamminga,Nationaal Gesprek over Vrijheid,do 7 mei 2026,De Balie,"Studenten van het Noorderpoort Groningen gaan in gesprek met de burgemeester van Groningen Roelien Kamminga over de betekenis van vrijheid, democratie en actief burgerschap.",https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-roelien-kamminga-07-05-2026/,Gratis
